session_id,prompt_count,session_start_kst,session_end_kst,session_duration_minutes,models_used,prompt_prefixes,matching_commit_authors,nonmatching_prompt_prefixes,author_match_rate,repair_signal_count,context_dependency_count,context_management_rating,avg_prompt_chars
019d8156-1cca-7fe3-a101-d62b86cef4c1,13,2026-04-12T21:22:01.092050+09:00,2026-04-12T22:02:02.610797+09:00,40.0,gpt-5.4,sijun-yang,sijun-yang,,1.00,0,4,mixed,202.8
019d81ca-f47c-7ab0-815a-79f6dca11ee1,26,2026-04-12T22:04:27.898050+09:00,2026-04-12T23:36:59.363993+09:00,92.5,gpt-5.4,sijun-yang,sijun-yang,,1.00,0,10,mixed,50.1
019d8220-4721-7e01-93af-1c1e81ed05e1,15,2026-04-12T23:37:32.359507+09:00,2026-04-14T17:09:34.609522+09:00,2492.0,gpt-5.4,sijun-yang,sijun-yang,,1.00,1,7,mixed,297.7
019d8eae-9bf7-70f2-b051-445b87d0dcf3,2,2026-04-15T10:08:45.416202+09:00,2026-04-15T10:10:14.342626+09:00,1.5,gpt-5.4,sijun-yang,sijun-yang,,1.00,0,0,explicit,1134.5
019d8eb1-3429-7162-aaf6-90b12fcca4b2,17,2026-04-15T10:12:34.558815+09:00,2026-04-15T12:55:29.759564+09:00,162.9,gpt-5.4,sijun-yang,sijun-yang,,1.00,0,1,mostly_explicit,79.4
019d8eb6-aca4-74a0-a07c-d24f55e37a96,6,2026-04-15T10:17:31.332576+09:00,2026-04-15T13:00:14.766917+09:00,162.7,gpt-5.4,sijun-yang,sijun-yang,,1.00,0,0,explicit,38.5
019d8f7b-299d-7fd1-888e-883825fd26bb,5,2026-04-15T13:54:39.732679+09:00,2026-04-15T14:08:47.678878+09:00,14.1,gpt-5.4,sijun-yang,sijun-yang,,1.00,0,1,mostly_explicit,124.0
019d8f84-b95f-7732-bb7b-e7a4898bb60f,7,2026-04-15T14:04:43.492484+09:00,2026-04-15T14:39:02.905152+09:00,34.3,gpt-5.4,sijun-yang,sijun-yang,,1.00,0,1,mostly_explicit,47.9
019d8f8a-fe80-7163-8e0c-62c726a6577e,3,2026-04-15T14:09:12.196367+09:00,2026-04-15T14:18:46.328298+09:00,9.6,gpt-5.4,sijun-yang,sijun-yang,,1.00,0,0,explicit,62.0
019d8f95-fc3c-7082-a134-61870fd13071,4,2026-04-15T14:22:09.534735+09:00,2026-04-15T14:50:42.028407+09:00,28.5,gpt-5.4,sijun-yang,sijun-yang,,1.00,0,0,explicit,106.5
019d8fa7-116e-7953-8dea-c231b15a57fd,9,2026-04-15T14:52:45.165313+09:00,2026-04-15T15:50:28.949665+09:00,57.7,gpt-5.4,sijun-yang,sijun-yang,,1.00,0,1,mostly_explicit,60.1
019d8fc0-111f-7803-838c-ea9bb38b9407,14,2026-04-15T15:07:34.783534+09:00,2026-04-15T17:46:06.470384+09:00,158.5,gpt-5.4,sijun-yang,sijun-yang,,1.00,3,2,mostly_explicit,94.4
019d8feb-e617-77d0-87f3-d365009d59ee,1,2026-04-15T15:54:58.496505+09:00,2026-04-15T15:54:58.496505+09:00,0.0,gpt-5.4,sijun-yang,sijun-yang,,1.00,0,0,explicit,40.0
019d8ff8-fcb9-7fa1-906e-fd61616f050b,51,2026-04-15T16:19:36.864381+09:00,2026-04-15T22:10:00.430355+09:00,350.4,gpt-5.4,HyunSeongLee,HyunSeongLee,,1.00,2,7,mostly_explicit,75.0
019d8ffa-2f65-75c1-bd72-e2fab9179772,24,2026-04-15T16:21:21.825193+09:00,2026-04-15T20:45:49.391834+09:00,264.5,gpt-5.4,Kyumin_Kim,Kyumin_Kim,,1.00,0,0,explicit,415.4
019d900a-669f-7891-96ec-5202f8b63df9,19,2026-04-15T16:28:26.763153+09:00,2026-04-15T22:04:54.825755+09:00,336.5,gpt-5.4,cloud-9-git,cloud-9-git,,1.00,0,0,explicit,547.8
019d904f-254e-7f62-9fa0-35b63eda7821,6,2026-04-15T17:43:29.239489+09:00,2026-04-15T19:43:32.354107+09:00,120.1,gpt-5.4,sijun-yang,sijun-yang,,1.00,0,0,explicit,41.7
019d9052-8d36-7d11-985d-18bf01cda9bf,16,2026-04-15T17:47:54.890822+09:00,2026-04-15T19:38:58.413084+09:00,111.1,gpt-5.4,sijun-yang,sijun-yang,,1.00,1,2,mostly_explicit,45.5
019d90be-8af8-78e0-88e7-9d7a97aa4603,4,2026-04-15T19:45:02.846137+09:00,2026-04-15T20:01:49.154525+09:00,16.8,gpt-5.4,sijun-yang,sijun-yang,,1.00,0,0,explicit,48.0
019d90ce-0658-7400-bb40-c08039e049ca,3,2026-04-15T20:03:47.635472+09:00,2026-04-15T20:12:58.416220+09:00,9.2,gpt-5.4,sijun-yang,sijun-yang,,1.00,0,1,mixed,4372.7
019d90d3-f1c2-7cf1-ac16-f54676cf3129,21,2026-04-15T20:08:36.028791+09:00,2026-04-15T23:51:51.970682+09:00,223.3,gpt-5.4,sijun-yang,sijun-yang,,1.00,1,4,mostly_explicit,411.6
019d9171-48f4-7342-8369-f670152838aa,4,2026-04-15T23:02:11.957526+09:00,2026-04-15T23:27:30.724693+09:00,25.3,gpt-5.4,sijun-yang,sijun-yang,,1.00,0,1,mostly_explicit,196.2
